Date,Open,High,Low,Close,Volume,Market Capacity
2020-01-15,0.04,0.04,0.04,0.04,111350540.0,1103270947.0
2020-01-14,0.04,0.04,0.04,0.04,125280206.0,1080110770.0
2020-01-13,0.04,0.04,0.04,0.04,56296775.0,958419140.0
2020-01-12,0.04,0.04,0.04,0.04,56546260.0,977200922.0
2020-01-11,0.04,0.04,0.04,0.04,63485488.0,954771091.0
2020-01-10,0.04,0.04,0.03,0.04,47483943.0,956027830.0
2020-01-09,0.04,0.04,0.04,0.04,26562776.0,942675508.0
2020-01-08,0.04,0.04,0.04,0.04,49193345.0,944645770.0
2020-01-07,0.04,0.04,0.04,0.04,51562680.0,960513017.0
2020-01-06,0.03,0.04,0.03,0.04,37988444.0,966352558.0
2020-01-05,0.03,0.04,0.03,0.03,21479178.0,900224706.0
2020-01-04,0.03,0.03,0.03,0.03,29535781.0,896939967.0
2020-01-03,0.03,0.03,0.03,0.03,30162644.0,886177804.0
2020-01-02,0.03,0.03,0.03,0.03,20843934.0,849142417.0
2020-01-01,0.03,0.03,0.03,0.03,22948374.0,867464516.0
2019-12-31,0.03,0.03,0.03,0.03,25320349.0,851576357.0
2019-12-30,0.03,0.03,0.03,0.03,21940559.0,871003591.0
2019-12-29,0.03,0.03,0.03,0.03,23696263.0,888882224.0
2019-12-28,0.03,0.03,0.03,0.03,23018616.0,871982592.0
2019-12-27,0.03,0.03,0.03,0.03,42498574.0,858176174.0
2019-12-26,0.03,0.03,0.03,0.03,28317661.0,888809775.0
2019-12-25,0.03,0.03,0.03,0.03,19588981.0,874464722.0
2019-12-24,0.03,0.04,0.03,0.03,30932186.0,885711476.0
2019-12-23,0.03,0.03,0.03,0.03,36538150.0,860781223.0
2019-12-22,0.03,0.03,0.03,0.03,24856106.0,893609680.0
2019-12-21,0.03,0.03,0.03,0.03,25280467.0,862385606.0
2019-12-20,0.03,0.03,0.03,0.03,32935799.0,881632550.0
2019-12-19,0.03,0.03,0.03,0.03,43861871.0,862099887.0
2019-12-18,0.03,0.03,0.03,0.03,61099755.0,893501578.0
2019-12-17,0.03,0.03,0.03,0.03,54217973.0,824492977.0
2019-12-16,0.04,0.04,0.03,0.03,41961581.0,888497640.0
2019-12-15,0.04,0.04,0.03,0.04,28289227.0,950315361.0
2019-12-14,0.04,0.04,0.04,0.04,39951085.0,944448824.0
2019-12-13,0.04,0.04,0.04,0.04,42557714.0,962105881.0
2019-12-12,0.04,0.04,0.04,0.04,41806143.0,952124839.0
2019-12-11,0.04,0.04,0.04,0.04,46812214.0,950360040.0
2019-12-10,0.04,0.04,0.04,0.04,32469759.0,949093013.0
2019-12-09,0.04,0.04,0.04,0.04,31176739.0,971820730.0
2019-12-08,0.04,0.04,0.04,0.04,25653004.0,1009798192.0
2019-12-07,0.04,0.04,0.04,0.04,30151245.0,1004866554.0
2019-12-06,0.04,0.04,0.04,0.04,30049656.0,993455158.0
2019-12-05,0.04,0.04,0.04,0.04,39975672.0,981893636.0
2019-12-04,0.04,0.04,0.04,0.04,51692274.0,969802335.0
2019-12-03,0.04,0.04,0.04,0.04,34356883.0,983080974.0
2019-12-02,0.04,0.04,0.04,0.04,43069274.0,986684920.0
2019-12-01,0.04,0.04,0.04,0.04,59641355.0,1026365437.0
2019-11-30,0.04,0.04,0.04,0.04,64184926.0,1048107282.0
2019-11-29,0.04,0.04,0.04,0.04,99506198.0,1073986624.0
2019-11-28,0.04,0.04,0.04,0.04,60743403.0,1016079672.0
2019-11-27,0.04,0.04,0.04,0.04,76841561.0,1012420887.0
2019-11-26,0.04,0.04,0.04,0.04,57431470.0,959117573.0
2019-11-25,0.04,0.04,0.03,0.04,96694224.0,934626616.0
2019-11-24,0.04,0.04,0.04,0.04,62998664.0,922680695.0
2019-11-23,0.04,0.04,0.04,0.04,58979321.0,994122170.0
2019-11-22,0.04,0.04,0.03,0.04,93310136.0,963130806.0
2019-11-21,0.04,0.04,0.04,0.04,67101708.0,995755250.0
2019-11-20,0.04,0.04,0.04,0.04,69854304.0,1067634701.0
2019-11-19,0.04,0.04,0.04,0.04,91311583.0,1102995485.0
2019-11-18,0.05,0.05,0.04,0.04,106595679.0,1135647864.0
2019-11-17,0.04,0.05,0.04,0.05,74834540.0,1177627885.0
2019-11-16,0.04,0.04,0.04,0.04,61781146.0,1145239519.0
2019-11-15,0.04,0.04,0.04,0.04,81592975.0,1140128777.0
2019-11-14,0.04,0.04,0.04,0.04,53295194.0,1117958882.0
2019-11-13,0.04,0.04,0.04,0.04,42332678.0,1127632602.0
2019-11-12,0.04,0.04,0.04,0.04,79520150.0,1134751210.0
2019-11-11,0.04,0.04,0.04,0.04,57846910.0,1119896696.0
2019-11-10,0.04,0.04,0.04,0.04,71691725.0,1139696016.0
2019-11-09,0.04,0.04,0.04,0.04,41365742.0,1100480940.0
2019-11-08,0.04,0.04,0.04,0.04,70275428.0,1096640030.0
