Date,Open*,High,Low,Close**,Volume,Market Cap
2/15/2020,360.56,361.63,304.59,310.08,2841930815,5667626454
2/14/2020,359.26,363.06,349.51,360.39,2708978354,6586605882
2/13/2020,366.04,379.5,349.77,359.04,3334653510,6561311655
2/12/2020,363.44,375.72,363.01,366.72,3020567588,6700928233
2/11/2020,352.62,366.13,346.52,363.4,2971745227,6639678579
2/10/2020,350.83,355.52,339.34,352.36,3169406345,6437296314
2/9/2020,336.28,366.34,331.73,350.09,3583539558,6395258537
2/8/2020,295.67,346.16,290.38,336.25,3637921786,6141774147
2/7/2020,295.67,302.54,290.62,295.7,2039225645,5400617200
2/6/2020,299.43,306.21,292.53,295.65,2403576503,5399157669
2/5/2020,271.95,304.39,269.18,298.88,2723740891,5457622454
2/4/2020,280.63,282.71,267.8,272.06,1848976319,4967266626
2/3/2020,276.74,285.44,275.14,280.73,1966449392,5125136446
2/2/2020,278.05,286.15,271.86,276.74,1947042982,5051860965
2/1/2020,272.91,288.06,270.93,278.65,2045188904,5086094873
1/31/2020,298.78,298.92,265.08,272.4,2306111736,4971493553
1/30/2020,287.47,306.7,284.59,298.82,2639457631,5453378902
1/29/2020,294.97,303.9,282.68,287.97,2955203277,5247563141
1/28/2020,300.13,311.14,279.46,294.76,2987485223,5371343646
1/27/2020,274.26,318.79,274.1,300.35,3260926617,5473156767
1/26/2020,261.62,277.26,254.85,274.2,2003477064,4996615973
1/25/2020,266.41,270.34,253.47,261.85,1764624059,4771607864
1/24/2020,259.09,281.47,247.3,266.98,2733224386,4864986722
1/23/2020,308.54,308.59,248.28,259.14,2643222739,4722121850
1/22/2020,314.79,322.19,299.27,308.91,2192284387,5629050033
1/21/2020,300.79,323.3,290.98,314.53,2836183879,5731505296
1/20/2020,278.06,320.64,264.69,301.7,3279329941,5497689339
1/19/2020,249.91,276.92,238.85,276.92,3190579995,5046171376
1/18/2020,286.51,297.54,245.18,249.19,3246126279,4540896971
1/17/2020,313.38,330.39,274.01,286.4,3565786206,5218978781
1/16/2020,312.06,333.87,282.23,312.88,3966458240,5701492409
1/15/2020,420.68,421.53,285.68,312.76,5432389775,5650999055
1/14/2020,173.81,441.2,173.58,422.74,7460265156,7638163819
1/13/2020,164.89,174.66,159.96,174.33,1227224459,3149819106
1/12/2020,151.33,168.81,148.58,165.01,1360791215,2981519770
1/11/2020,171.08,175.63,149.3,150.73,1779222123,2723486078
1/10/2020,117.66,172.76,116.67,171.16,1782635151,3092666424
1/9/2020,114.11,118.35,112.77,117.74,679848557,2127416643
1/8/2020,114.06,116.14,111.3,114.17,762929032,2062931833
1/7/2020,117.75,118.66,110.71,114.06,776247251,2060934201
1/6/2020,110.99,117.95,110.35,117.81,796700319,2128712929
1/5/2020,109.68,114.76,109.24,110.87,650101885,2003156469
1/4/2020,102.7,110.21,102.47,109.67,712444844,1981510584
1/3/2020,93.08,103.89,92.11,102.61,697088052,1853999320
1/2/2020,97.24,97.74,92.71,92.84,424249976,1677433934
1/1/2020,97.08,99.85,96.41,97.2,450643882,1756282440
12/31/2019,97.02,98.65,94.54,97.08,533536931,1754060548
12/30/2019,100.36,100.92,94.33,96.98,610692227,1752211851
12/29/2019,94.18,102.05,93.75,100.36,569875111,1813274573
12/28/2019,90.58,96.18,90.4,94.35,497082872,1704772053
12/27/2019,87.63,91.79,86.64,90.57,469045045,1636504173
12/26/2019,86.83,90.96,85.68,87.62,387354065,1583166982
12/25/2019,87.61,88.19,85.54,86.81,381783943,1568482756
12/24/2019,86.25,88.47,85.7,87.61,418897369,1582936417
12/23/2019,88.1,90.12,85.9,86.34,477921064,1559978108
12/22/2019,85.33,88.39,84.85,88.04,389220983,1590712641
12/21/2019,88.56,89.06,84.89,85.34,389706406,1541937035
12/20/2019,85.54,89.27,84.6,88.53,410922506,1599521545
12/19/2019,86.34,88.04,81.72,85.54,473470788,1545533273
12/18/2019,80.68,86.91,78.19,86.33,601322552,1559787127
12/17/2019,89.6,89.87,80.05,81.01,474725801,1463765474
12/16/2019,93.42,93.53,88.71,89.6,392384682,1618949418
